Robots,Duracion,Prueba,Percentil,Distancia,Peligrosidad,Cobertura,%Cobertura
1,15,13,25,652.5483399593904,9.990000000000002,151.0,26.21527777777778
1,15,13,50,867.6955262170047,18.715,185.0,32.11805555555556
1,15,13,75,832.5483399593904,16.244999999999997,228.0,39.58333333333333
1,15,13,100,978.8225099390856,17.115,246.0,42.70833333333333
2,5,1,25,346.2741699796952,6.74,142.0,24.65277777777778
2,5,1,50,1300.2438661763952,25.44000000000001,213.0,36.97916666666667
2,5,1,75,1295.3910524340095,27.78499999999999,234.0,40.625
2,5,1,100,1375.3910524340095,30.525,253.0,43.92361111111111
2,5,2,25,337.9898987322333,5.425,81.0,14.0625
2,5,2,50,394.5584412271571,4.455,126.0,21.875
2,5,2,75,351.1269837220809,5.66,147.0,25.520833333333332
2,5,2,100,527.6955262170047,8.034999999999998,168.0,29.166666666666668
2,5,3,25,329.7056274847714,5.745,99.0,17.1875
2,5,3,50,784.2640687119285,14.395000000000001,206.0,35.76388888888889
2,5,3,75,795.9797974644666,14.684999999999999,249.0,43.22916666666667
2,5,3,100,707.6955262170047,15.020000000000001,284.0,49.30555555555556
2,5,4,25,502.842712474619,10.3,102.0,17.708333333333336
2,5,4,50,314.5584412271571,6.755,145.0,25.17361111111111
2,5,4,75,635.9797974644666,12.155000000000001,179.0,31.07638888888889
2,5,4,100,1020.8326112068523,20.559999999999995,243.0,42.1875
2,5,5,25,584.2640687119285,9.895,139.0,24.131944444444446
2,5,5,50,619.4112549695428,10.685000000000002,182.0,31.59722222222222
2,5,5,75,595.9797974644666,9.885,195.0,33.85416666666667
2,5,5,100,789.1168824543142,17.925,231.0,40.10416666666667
2,5,6,25,647.6955262170047,12.169999999999998,144.0,25.0
2,5,6,50,695.9797974644666,12.590000000000002,241.0,41.84027777777778
2,5,6,75,804.2640687119285,13.659999999999998,295.0,51.21527777777778
2,5,6,100,632.5483399593904,10.47,320.0,55.55555555555556
2,5,7,25,457.9898987322333,6.68,76.0,13.194444444444445
2,5,7,50,779.4112549695428,11.594999999999999,192.0,33.33333333333333
2,5,7,75,897.4011537017761,17.035,243.0,42.1875
2,5,7,100,977.4011537017761,20.095000000000002,257.0,44.61805555555556
2,5,8,25,422.842712474619,7.279999999999999,116.0,20.13888888888889
2,5,8,50,411.1269837220809,5.879999999999999,126.0,21.875
2,5,8,75,740.8326112068523,13.115000000000002,179.0,31.07638888888889
2,5,8,100,905.685424949238,17.724999999999998,202.0,35.06944444444444
2,5,9,25,88.2842712474619,1.445,14.0,2.430555555555556
2,5,9,50,800.8326112068523,12.889999999999995,132.0,22.916666666666664
2,5,9,75,789.1168824543142,15.089999999999995,232.0,40.27777777777778
2,5,9,100,644.2640687119285,11.325000000000003,304.0,52.77777777777778
2,5,10,25,116.5685424949238,1.94,30.0,5.208333333333334
2,5,10,50,715.9797974644666,10.810000000000004,252.0,43.75
2,5,10,75,1400.2438661763952,27.61499999999999,352.0,61.111111111111114
2,5,10,100,1223.6753236814714,20.925000000000004,400.0,69.44444444444444
2,5,11,25,269.7056274847714,3.37,49.0,8.506944444444445
2,5,11,50,729.1168824543142,12.83,167.0,28.993055555555557
2,5,11,75,1071.9595949289333,17.460000000000004,294.0,51.041666666666664
2,5,11,100,904.2640687119285,19.340000000000003,312.0,54.166666666666664
2,5,12,25,233.1370849898476,4.6850000000000005,70.0,12.152777777777777
2,5,12,50,647.6955262170047,12.865000000000002,182.0,31.59722222222222
2,5,12,75,647.6955262170047,14.144999999999998,238.0,41.31944444444444
2,5,12,100,664.2640687119285,13.655,246.0,42.70833333333333
2,5,13,25,233.1370849898476,5.385000000000001,35.0,6.076388888888888
2,5,13,50,715.9797974644666,10.63,191.0,33.15972222222222
2,5,13,75,779.4112549695428,13.310000000000002,260.0,45.13888888888889
2,5,13,100,739.4112549695428,16.87,275.0,47.74305555555556
2,10,1,25,1020.8326112068523,17.445000000000004,264.0,45.83333333333333
2,10,1,50,940.8326112068523,18.105000000000008,365.0,63.36805555555556
2,10,1,75,1013.9696961966999,18.065,376.0,65.27777777777779
2,10,1,100,1035.9797974644666,18.315000000000005,387.0,67.1875
2,10,2,25,1150.5382386916237,18.400000000000006,216.0,37.5
2,10,2,50,744.2640687119285,13.435,347.0,60.24305555555556
2,10,2,75,1018.8225099390856,19.05,450.0,78.125
2,10,2,100,957.4011537017761,16.6,464.0,80.55555555555556
2,10,3,25,1318.8225099390856,24.855000000000004,212.0,36.80555555555556
2,10,3,50,1393.9696961967,27.675000000000008,289.0,50.173611111111114
2,10,3,75,1509.9494936611666,28.524999999999988,355.0,61.63194444444444
2,10,3,100,965.685424949238,16.185000000000002,374.0,64.93055555555556
2,10,4,25,1315.3910524340095,27.150000000000006,212.0,36.80555555555556
2,10,4,50,1295.3910524340095,24.8,254.0,44.09722222222222
2,10,4,75,1465.0966799187809,28.549999999999997,342.0,59.375
2,10,4,100,1368.528137423857,26.61,396.0,68.75
2,10,5,25,515.9797974644666,8.455,169.0,29.34027777777778
2,10,5,50,1473.3809511662428,26.115000000000002,348.0,60.416666666666664
2,10,5,75,1458.8225099390856,30.325000000000014,373.0,64.75694444444444
2,10,5,100,1223.6753236814714,22.314999999999998,388.0,67.36111111111111
2,10,6,25,233.1370849898476,3.475,167.0,28.993055555555557
2,10,6,50,892.5483399593904,16.469999999999995,223.0,38.71527777777778
2,10,6,75,1138.8225099390856,22.36,337.0,58.50694444444444
2,10,6,100,1449.9494936611666,30.215000000000014,415.0,72.04861111111111
2,10,7,25,229.7056274847714,2.33,59.0,10.243055555555555
2,10,7,50,442.842712474619,6.935,222.0,38.54166666666667
2,10,7,75,647.6955262170047,11.49,315.0,54.6875
2,10,7,100,925.685424949238,16.584999999999997,407.0,70.65972222222221
2,10,8,25,96.5685424949238,1.84,11.0,1.9097222222222223
2,10,8,50,985.685424949238,17.090000000000007,260.0,45.13888888888889
2,10,8,75,757.4011537017761,13.139999999999997,343.0,59.548611111111114
2,10,8,100,792.5483399593904,13.99,378.0,65.625
2,10,9,25,293.1370849898476,4.075,68.0,11.805555555555555
2,10,9,50,627.6955262170047,11.005,154.0,26.73611111111111
2,10,9,75,604.2640687119285,10.615000000000002,234.0,40.625
2,10,9,100,644.2640687119285,10.915000000000001,263.0,45.65972222222222
2,10,10,25,269.7056274847714,4.215,83.0,14.409722222222221
2,10,10,50,644.2640687119285,12.075000000000001,156.0,27.083333333333332
2,10,10,75,632.5483399593904,9.624999999999998,215.0,37.32638888888889
2,10,10,100,1145.685424949238,22.470000000000006,316.0,54.861111111111114
2,10,11,25,409.7056274847714,7.084999999999999,137.0,23.78472222222222
2,10,11,50,482.842712474619,7.775,191.0,33.15972222222222
2,10,11,75,409.7056274847714,6.695,220.0,38.19444444444444
2,10,11,100,437.9898987322333,8.195000000000002,224.0,38.88888888888889
2,10,12,25,326.2741699796952,5.820000000000001,134.0,23.26388888888889
2,10,12,50,502.842712474619,9.295,165.0,28.645833333333332
2,10,12,75,539.4112549695428,8.89,194.0,33.68055555555556
2,10,12,100,595.9797974644666,10.610000000000001,198.0,34.375
2,10,13,25,377.9898987322333,6.540000000000001,98.0,17.01388888888889
2,10,13,50,789.1168824543142,16.049999999999997,174.0,30.208333333333332
2,10,13,75,897.4011537017761,17.15,193.0,33.50694444444444
2,10,13,100,687.6955262170047,11.63,299.0,51.90972222222222
2,15,1,25,1147.1067811865476,20.055000000000003,234.0,40.625
2,15,1,50,1025.685424949238,18.560000000000002,331.0,57.46527777777778
2,15,1,75,933.9696961966999,16.290000000000006,393.0,68.22916666666666
2,15,1,100,1093.9696961967,18.639999999999993,414.0,71.875
2,15,2,25,566.2741699796952,11.515000000000002,191.0,33.15972222222222
2,15,2,50,922.2539674441618,13.329999999999998,335.0,58.15972222222222
2,15,2,75,1122.2539674441618,19.16,347.0,60.24305555555556
2,15,2,100,1185.685424949238,23.299999999999997,448.0,77.77777777777779
2,15,3,25,1180.2438661763952,21.565000000000005,240.0,41.66666666666667
2,15,3,50,965.685424949238,15.855000000000002,324.0,56.25
2,15,3,75,945.685424949238,15.629999999999997,329.0,57.11805555555556
2,15,3,100,957.4011537017761,17.9,343.0,59.548611111111114
2,15,4,25,825.685424949238,13.765,249.0,43.22916666666667
2,15,4,50,817.4011537017761,13.535,364.0,63.19444444444444
2,15,4,75,889.1168824543142,16.549999999999997,380.0,65.97222222222221
2,15,4,100,1431.9595949289333,30.579999999999995,455.0,78.99305555555556
2,15,5,25,953.9696961966999,18.24,172.0,29.86111111111111
2,15,5,50,1413.3809511662428,29.460000000000008,245.0,42.53472222222222
2,15,5,75,1320.2438661763952,25.500000000000007,255.0,44.27083333333333
2,15,5,100,1278.8225099390856,25.7,256.0,44.44444444444444
2,15,6,25,832.5483399593904,14.155000000000001,225.0,39.0625
